id,firstLine,lastLine,audioFile
1,696,958,20000leaguesundertheseas_1-01_verne_64kb.mp3
2,969,1215,20000leaguesundertheseas_1-02_verne_64kb.mp3
3,1227,1472,20000leaguesundertheseas_1-03_verne_64kb.mp3
4,1482,1770,20000leaguesundertheseas_1-04_verne_64kb.mp3
5,1782,2036,20000leaguesundertheseas_1-05_verne_64kb.mp3
6,2046,2450,20000leaguesundertheseas_1-06_verne_64kb.mp3
7,2462,2805,20000leaguesundertheseas_1-07_verne_64kb.mp3
8,2817,3170,20000leaguesundertheseas_1-08_verne_64kb.mp3
9,3182,3495,20000leaguesundertheseas_1-09_verne_64kb.mp3
10,3507,3899,20000leaguesundertheseas_1-10_verne_64kb.mp3
11,3920,4240,20000leaguesundertheseas_1-11_verne_64kb.mp3
12,4250,4546,20000leaguesundertheseas_1-12_verne_64kb.mp3
13,4560,4846,20000leaguesundertheseas_1-13_verne_64kb.mp3
14,4859,5349,20000leaguesundertheseas_1-14_verne_64kb.mp3
15,5378,5761,20000leaguesundertheseas_1-15_verne_64kb.mp3
16,5772,6029,20000leaguesundertheseas_1-16_verne_64kb.mp3
17,6039,6307,20000leaguesundertheseas_1-17_verne_64kb.mp3
18,6326,6655,20000leaguesundertheseas_1-18_verne_64kb.mp3
19,6669,7087,20000leaguesundertheseas_1-19_verne_64kb.mp3
20,7101,7456,20000leaguesundertheseas_1-20_verne_64kb.mp3
21,7466,7982,20000leaguesundertheseas_1-21_verne_64kb.mp3
22,7996,8523,20000leaguesundertheseas_1-22_verne_64kb.mp3
23,8528,8894,20000leaguesundertheseas_1-23_verne_64kb.mp3
24,8911,9271,20000leaguesundertheseas_1-24_verne_64kb.mp3
25,9750,10137,20000leaguesundertheseas_2-01_verne_64kb.mp3
26,10149,10593,20000leaguesundertheseas_2-02_verne_64kb.mp3
27,10603,11082,20000leaguesundertheseas_2-03_verne_64kb.mp3
28,11094,11623,20000leaguesundertheseas_2-04_verne_64kb.mp3
29,11633,12026,20000leaguesundertheseas_2-05_verne_64kb.mp3
30,12034,12538,20000leaguesundertheseas_2-06_verne_64kb.mp3
31,12546,12927,20000leaguesundertheseas_2-07_verne_64kb.mp3
32,12937,13367,20000leaguesundertheseas_2-08_verne_64kb.mp3
33,13379,13797,20000leaguesundertheseas_2-09_verne_64kb.mp3
34,13807,14251,20000leaguesundertheseas_2-10_verne_64kb.mp3
35,14261,14618,20000leaguesundertheseas_2-11_verne_64kb.mp3
36,14628,15137,20000leaguesundertheseas_2-12_verne_64kb.mp3
37,15145,15639,20000leaguesundertheseas_2-13_verne_64kb.mp3
38,15649,16185,20000leaguesundertheseas_2-14_verne_64kb.mp3
39,16195,16550,20000leaguesundertheseas_2-15_verne_64kb.mp3
40,16569,16996,20000leaguesundertheseas_2-16_verne_64kb.mp3
41,17008,17416,20000leaguesundertheseas_2-17_verne_64kb.mp3
42,17426,17897,20000leaguesundertheseas_2-18_verne_64kb.mp3
43,17905,18357,20000leaguesundertheseas_2-19_verne_64kb.mp3
44,18379,18703,20000leaguesundertheseas_2-20_verne_64kb.mp3
45,18713,19110,20000leaguesundertheseas_2-21_verne_64kb.mp3
46,19122,19427,20000leaguesundertheseas_2-22_verne_64kb.mp3
47,19437,19489,20000leaguesundertheseas_2-23_verne_64kb.mp3
