id,firstLine,lastLine,audioFile
1,111,365,20000lieues_1_01_verne_64kb.mp3
2,369,604,20000lieues_1_02_verne_64kb.mp3
3,608,844,20000lieues_1_03_verne_64kb.mp3
4,848,1138,20000lieues_1_04_verne_64kb.mp3
5,1142,1392,20000lieues_1_05_verne_64kb.mp3
6,1396,1798,20000lieues_1_06_verne_64kb.mp3
7,1802,2154,20000lieues_1_07_verne_64kb.mp3
8,2158,2488,20000lieues_1_08_verne_64kb.mp3
9,2492,2797,20000lieues_1_09_verne_64kb.mp3
10,2801,3191,20000lieues_1_10_verne_64kb.mp3
11,3195,3512,20000lieues_1_11_verne_64kb.mp3
12,3516,3809,20000lieues_1_12_verne_64kb.mp3
13,3813,4107,20000lieues_1_13_verne_64kb.mp3
14,4111,4606,20000lieues_1_14_verne_64kb.mp3
15,4610,4981,20000lieues_1_15_verne_64kb.mp3
16,4985,5242,20000lieues_1_16_verne_64kb.mp3
17,5246,5512,20000lieues_1_17_verne_64kb.mp3
18,5516,5844,20000lieues_1_18_verne_64kb.mp3
19,5848,6256,20000lieues_1_19_verne_64kb.mp3
20,6260,6616,20000lieues_1_20_verne_64kb.mp3
21,6620,7125,20000lieues_1_21_verne_64kb.mp3
22,7129,7660,20000lieues_1_22_verne_64kb.mp3
23,7664,8033,20000lieues_1_23_verne_64kb.mp3
24,8037,8395,20000lieues_1_24_verne_64kb.mp3
25,8471,8876,20000lieues_2_01_verne_64kb.mp3
26,8880,9330,20000lieues_2_02_verne_64kb.mp3
27,9334,9816,20000lieues_2_03_verne_64kb.mp3
28,9820,10357,20000lieues_2_04_verne_64kb.mp3
29,10361,10764,20000lieues_2_05_verne_64kb.mp3
30,10768,11266,20000lieues_2_06_verne_64kb.mp3
31,11270,11655,20000lieues_2_07_verne_64kb.mp3
32,11659,12093,20000lieues_2_08_verne_64kb.mp3
33,12097,12512,20000lieues_2_09_verne_64kb.mp3
34,12516,12965,20000lieues_2_10_verne_64kb.mp3
35,12969,13336,20000lieues_2_11_verne_64kb.mp3
36,13340,13861,20000lieues_2_12_verne_64kb.mp3
37,13865,14362,20000lieues_2_13_verne_64kb.mp3
38,14366,14901,20000lieues_2_14_verne_64kb.mp3
39,14905,15263,20000lieues_2_15_verne_64kb.mp3
40,15267,15700,20000lieues_2_16_verne_64kb.mp3
41,15704,16114,20000lieues_2_17_verne_64kb.mp3
42,16118,16602,20000lieues_2_18_verne_64kb.mp3
43,16606,17059,20000lieues_2_19_verne_64kb.mp3
44,17063,17388,20000lieues_2_20_verne_64kb.mp3
45,17392,17787,20000lieues_2_21_verne_64kb.mp3
46,17791,18094,20000lieues_2_22_verne_64kb.mp3
47,18098,18146,20000lieues_2_23_verne_64kb.mp3
